       Q         R         S         T
101  0.0 -2.481818 -1.570377  1.911442
102  0.0 -1.264408  0.497028  2.761436
103  0.0  0.840531  1.829349  0.988818
104  0.0 -0.569736  0.181467  1.751203
105  0.0 -2.391898 -0.816626  2.575272
106  0.0 -1.545726 -1.392223  2.153503
107  0.0 -2.545712 -2.981443  1.564269
108  0.0 -3.689689 -3.403384  0.286304
109  0.0 -0.603082 -0.745822 -0.142740
110  0.0  0.000836 -0.127865 -0.128700
111  0.0 -3.542953 -3.425835  1.117118
112  0.0 -2.082608 -1.257139  1.825469
113  0.0  1.437434  1.431581  1.994148
114  0.0 -0.709648  0.422861  1.132508
115  0.0 -1.076232 -0.053374  2.022858
116  0.0 -1.831609 -0.174958  2.656651
117  0.0 -2.067089 -2.195678  0.871411
118  0.0  1.403055  1.133433 -0.269622
119  0.0 -0.417147  1.005787  3.422935
120  0.0 -1.316774 -1.286396  2.030378
121  0.0 -1.878458 -1.932599  0.945859
122  0.0 -0.908661 -0.189291  1.719369
123  0.0 -0.757948 -0.941827  0.816122
124  1.0 -1.332969  0.349006  2.681975
125  0.0 -2.816294 -1.004900  1.811394
126  0.0  0.563307  0.023530  1.460223
127  1.0  2.210658  4.208038  2.997380
128  0.0 -4.195083 -6.161967  0.033117
129  1.0 -3.430729 -3.776436 -0.345707
130  0.0 -2.094653  0.293560  3.388213
131  0.0  1.066096  1.011053 -0.055043
132  0.0 -2.727057 -1.368151  3.358906
133  1.0 -0.839243  1.368747  3.207990
134  0.0 -1.994411 -3.840405 -1.845994
135  1.0 -1.504775 -0.228146  1.276629
136  0.0 -1.772130 -1.700711  1.071419
137  0.0 -3.226921 -2.378456  0.848465
138  0.0 -0.420056  0.630400  3.050456
139  0.0 -2.930785 -2.533262  0.397523
140  0.0 -0.287623  0.058009  0.345632
141  1.0 -2.553336 -0.907232  1.646104
142  0.0 -1.682242 -2.375472  1.306770
143  0.0 -1.307269 -0.941526  0.365744
144  0.0 -1.128445 -1.218110 -0.089664
145  0.0 -1.388308 -2.159032  1.229276
146  0.0 -1.210734 -2.012284 -0.801551
147  0.0 -1.221652 -0.442920  0.778731
148  0.0 -0.898621  0.093016  1.991637
149  0.0 -3.677310 -3.457121  2.220189
150  1.0 -0.640570  1.061054  1.701624
151  1.0 -3.207621 -2.981880  1.225741
152  1.0 -2.637748 -1.044133  2.593615
153  0.0 -1.518155 -2.585372  0.932783
154  0.0 -2.945265 -4.405743 -1.460478
155  0.0 -2.721497 -2.756548 -0.035051
156  0.0 -1.378810 -1.537737 -0.158927
157  0.0 -1.957128 -2.954712  0.002416
158  0.0 -4.357233 -3.590132  0.767101
159  0.0 -1.113827 -1.330137 -0.216310
160  0.0 -2.443236 -2.640526 -0.197290
161  0.0 -1.317339  1.024697  3.342036
162  0.0 -0.868850 -0.841400  0.027451
163  0.0  0.272723  0.619107  0.346384
164  0.0 -1.185744 -3.118520 -0.932776
165  1.0 -1.162027 -0.388357  0.773670
166  0.0 -3.279810 -1.475348  2.804462
167  0.0 -1.466477 -0.710635  1.755842
168  0.0  0.482071  1.464054  1.981983
169  1.0 -1.762398 -0.532771  2.229627
170  0.0 -1.015221 -0.205930  0.809291
171  0.0 -2.722310 -2.578291  0.144019
172  0.0  0.682890  1.818180  2.135290
173  0.0 -1.153369 -0.651796  1.501573
174  0.0  0.576430  1.539149  2.962719
175  0.0 -2.602239 -1.558476  2.043764
176  0.0 -2.712518 -2.582445  0.130073
177  0.0 -2.601233 -1.752849  1.848384
178  0.0 -3.220818 -5.027179 -0.806361
179  1.0 -1.884211  1.577389  3.461600
180  0.0 -0.982273 -0.697627  2.284645
181  1.0 -3.138073 -1.687786  1.450287
182  0.0 -1.500353 -0.205848  1.294505
183  0.0 -2.698866 -1.859715  2.839151
184  1.0 -0.821634  0.965004  1.786638
185  1.0 -1.615811 -1.970728 -0.354916
186  1.0 -0.648878  1.029248  2.678126
187  1.0 -3.565598 -1.013029  2.552569
188  0.0 -0.992779  0.335784  2.328563
189  0.0  0.194562 -0.207101  1.598337
190  0.0 -1.622590 -1.149419  1.473171
191  0.0 -1.568396 -1.900536  0.667859
192  0.0 -0.816601  0.679453  2.496054
193  1.0  2.469672  1.515758  0.046086
194  0.0 -3.781276 -2.101829  3.679448
195  1.0 -2.209812 -2.308322  1.901491
196  0.0 -3.023076 -3.137495 -0.114419
197  0.0  1.645959  2.525907  2.879947
198  1.0 -0.501356 -0.260075  1.241281
199  0.0 -2.959509 -2.535083  0.424426
200  0.0 -1.750184 -2.225820  0.524365
201  0.0 -1.943114 -1.993737 -0.050623
202  0.0 -1.481305 -2.568254 -1.086949
203  1.0 -3.442069 -1.937612  2.504457
204  1.0 -1.640141 -0.951105  0.689036
205  0.0 -1.494308 -1.365639  1.128669
206  0.0 -1.703813 -2.300433  0.403380
207  0.0  1.080556  2.411030  1.330474
208  0.0 -1.039936 -1.389953  0.649982
209  0.0 -0.301697 -0.839124 -0.537426
210  1.0  1.283743  1.993189  1.709446
211  0.0 -2.528912 -3.982757 -1.453846
212  0.0  0.736506  2.142147  1.405642
213  0.0 -0.072873  0.206576  0.279449
214  0.0 -0.818850  1.054021  1.872872
215  0.0 -0.837641 -1.088991  1.748651
216  1.0 -2.560232 -1.944516  0.615716
217  0.0 -0.937313 -0.534842  1.402472
218  1.0 -1.068923 -0.673959  0.394964
219  0.0 -4.343121 -3.669265  0.673856
220  1.0 -2.967589  0.276267  4.243856
221  1.0 -2.200320  0.310261  3.510581
222  0.0 -3.763149 -3.500469  0.262680
223  0.0 -1.191054  1.459099  3.650153
224  1.0 -3.847983 -3.168209  1.679773
225  0.0  0.318771 -0.523638  0.157591
226  0.0  0.620935 -1.003022 -0.623957
227  1.0 -0.198468  0.671502  0.869971
228  0.0 -0.666392  1.272643  1.939035
229  0.0 -3.759467 -3.128735  0.630732
230  0.0 -4.613271 -1.745457  2.867814
231  0.0  1.634896  3.653530  2.018634
232  0.0 -1.703843 -2.739575  0.964267
233  0.0 -3.893849 -3.993573 -0.099724
234  1.0 -1.954166 -2.085666 -0.131500
235  0.0 -4.319481 -3.450488  1.868993
236  0.0 -0.306272  0.139001  0.445273
237  0.0 -1.080431 -1.681377 -0.600947
238  0.0  1.237546  2.343081  1.105536
239  0.0 -2.449058 -1.455323  0.993736
240  0.0 -0.581765 -0.714060  0.867704
241  1.0 -1.603672 -0.185310  1.418362
242  0.0 -0.058499  1.045646  1.104146
243  1.0 -0.960443  2.586484  3.546927
244  0.0 -2.159735 -2.597128  1.562607
245  0.0 -0.090051 -0.090615 -0.000564
246  0.0 -2.887990 -2.702553  2.185437
247  0.0 -2.366784 -3.291406 -0.924622
248  0.0 -1.818284 -2.704255  0.114030
249  1.0 -1.030991 -1.829530  0.201462
250  0.0 -0.037407  0.244449  2.281856
251  0.0  1.057397  1.209518  1.152121
252  0.0  0.825231  1.246784  1.421553
253  0.0 -0.292871  1.307584  1.600455
254  1.0 -3.675027 -2.007340  1.667687
255  0.0 -0.200231  1.638026  1.838257
256  0.0 -2.849314 -5.087023 -2.237710
257  0.0  0.156111 -0.264330 -0.420441
258  1.0  2.017686  5.471748  4.454061
259  0.0 -1.083136  0.000166  1.083301
260  0.0 -2.689706 -4.270316  0.419390
261  0.0 -1.400929 -1.579472 -0.178543
262  0.0 -1.621203 -1.664910 -0.043707
263  0.0 -3.569924 -2.907026  1.662899
264  0.0 -2.045059 -2.325366 -0.280306
265  0.0 -1.527701 -2.238042  0.289659
266  0.0 -1.695179  1.023787  3.718966
267  0.0  1.036037 -0.496775 -0.532812
268  0.0 -1.042598  1.669401  2.711999
269  0.0  1.248001  0.018232 -0.229769
270  0.0 -1.396867 -1.093492  0.303376
271  0.0 -2.441167 -1.817266  0.623901
272  0.0 -4.433955 -3.268232  2.165723
273  1.0 -1.965582  0.191442  2.157024
274  0.0 -2.614001 -4.128046 -1.514045
275  1.0  0.077396  2.339938  3.262543
276  1.0 -1.440300 -1.433425  1.006875
277  0.0 -1.657161 -0.992127  1.665034
278  0.0 -0.615296  1.257487  3.872783
279  0.0 -1.988926 -1.576578  0.412347
280  0.0  1.616032  3.677142  2.061110
281  0.0 -0.856995  0.182082  1.039077
282  0.0 -2.026688 -1.609221  0.417466
283  0.0 -2.082311 -2.260460 -0.178149
284  0.0 -1.025090 -0.924619  0.100471
285  0.0 -2.893156 -2.393618  0.499538
286  0.0 -0.836647  0.070332  0.906979
287  1.0 -4.138093 -3.937735  2.200359
288  0.0 -0.416429 -0.784328  0.632101
289  0.0 -1.643894 -2.364723  0.279171
290  0.0 -2.624579 -5.045696 -2.421116
291  0.0 -2.537851 -3.406375 -0.868523
292  0.0 -0.419622 -1.973625  0.445997
293  0.0 -1.438287 -2.068465 -0.630178
294  0.0  1.699386  0.176015 -1.523371
295  0.0 -1.665816 -1.834416 -0.168600
296  1.0 -1.410621  0.903722  3.314343
297  0.0 -1.195888  1.111775  4.307663
298  0.0 -2.785148 -1.229537  1.555610
299  0.0 -2.258583 -1.996488  0.262095
300  0.0 -3.862950 -4.602038 -0.739088
301  0.0 -0.387470  0.589311  2.976781
302  0.0 -1.691231 -0.272174  2.419057
303  0.0 -1.306448 -0.359032  0.947416
304  0.0 -1.029774 -1.690439  1.339335
305  1.0 -1.769315 -1.686339  1.082976
306  0.0 -0.809673  0.236492  1.046165
307  1.0 -2.256306 -0.163758  3.092549
308  0.0 -2.036749 -1.042763  0.993986
309  1.0 -2.671771 -3.627775  1.043997
310  0.0  1.342521  1.881520  0.538999
311  0.0  0.371908  0.082235  0.710327
312  0.0 -2.828415  0.695928  3.524343
313  0.0 -1.542835  0.714154  2.256989
314  0.0 -0.689090  0.137118  2.826208
315  0.0 -2.125896 -0.204031  1.921864
316  0.0 -0.957273 -0.924246  2.033027
317  0.0 -0.890256 -0.707154  0.183101
318  0.0 -0.469380  1.389908  1.859288
319  0.0 -2.438778 -1.603181  1.835598
320  0.0  0.541199  1.939204  1.398005
321  0.0 -0.065098  0.733838  0.798937
322  0.0 -0.301179 -0.780180 -0.479001
323  0.0 -0.337375 -1.307615 -0.970239
324  0.0 -2.938228 -0.313501  3.624727
325  1.0  0.193765  2.566894  2.373129
326  0.0 -1.597800 -0.595419  1.002380
327  0.0 -2.863850 -1.844596  1.019255
328  1.0 -2.761910 -0.852885  2.909025
329  0.0 -0.409405  0.081118  1.490523
330  1.0 -1.651075 -0.573295  3.077781
331  0.0 -2.355608 -2.311015  0.044593
332  0.0 -0.460072  1.416233  2.876305
333  0.0 -1.152551 -0.281919  1.870632
334  0.0  1.317357  1.987169  1.669811
335  0.0 -1.618186 -2.032612 -0.414426
336  1.0 -0.719703  1.079882  2.799585
337  1.0 -3.700159 -3.570487  1.129672
338  1.0 -4.664468 -2.889202  3.775267
339  0.0  0.308845  0.851387  1.542542
340  1.0 -1.751166  0.846094  2.597259
341  0.0 -1.922058 -1.247820  2.674238
342  0.0 -0.111743 -0.246909 -0.135166
343  0.0  0.272285  1.215016  1.942732
344  0.0 -2.913580 -2.895483  0.018096
345  1.0 -1.274974  1.686662  4.961636
346  0.0 -3.780359 -1.483227  2.297132
347  0.0 -2.537041 -2.185446  2.351595
348  1.0 -0.482144  0.618408  2.100552
349  0.0  0.744053  1.121001  1.376949
350  0.0 -0.468363  0.071107  1.539470
351  1.0 -0.055299  2.268114  2.323413
352  0.0 -1.334242 -0.372641  1.961601
353  0.0 -0.413638 -0.515179  0.898459
354  0.0 -1.967994 -2.046963 -0.078969
355  0.0  0.862022  2.447815  1.585793
356  0.0  0.318152  0.517777  1.199625
357  1.0  1.190610  2.031394  0.840784
358  0.0 -0.299956  1.007969  1.307925
359  0.0 -1.629425 -1.538182  0.091244
360  0.0 -0.056588 -1.208278 -0.151690
361  0.0 -2.151326 -0.185165  3.966161
362  0.0 -2.341361 -3.488827 -1.147466
363  0.0 -0.836292  1.019150  1.855442
364  0.0 -3.274611 -3.139118  1.135493
365  1.0 -3.391283 -2.444880  1.946404
366  0.0  0.834767  2.137300  1.302533
367  1.0  0.710468  1.864870  1.154402
368  0.0 -0.314490 -0.736861 -0.422370
369  0.0  0.128813 -0.491146 -0.619959
370  1.0 -1.404295  0.121172  3.525467
371  0.0 -2.393672 -2.867594 -0.473922
372  0.0 -1.289043 -0.836419  0.452624
373  0.0 -1.493831 -0.717971  1.775859
374  0.0 -1.654163  0.791719  4.445882
375  1.0 -4.462328 -2.895084  1.567244
376  1.0 -3.767914 -1.896368  3.871546
377  0.0 -1.690411 -1.398852  0.291559
378  0.0 -1.784280 -3.758317  0.025963
379  0.0 -0.776644 -0.901676 -0.125032
380  0.0 -2.459767 -1.244899  2.214867
381  1.0 -0.920168  2.494071  3.414239
382  0.0 -0.517211  0.736583  3.253794
383  0.0 -0.846791  0.365497  1.212288
384  0.0 -4.692021 -4.349296  0.342725
385  1.0 -5.277664 -3.802803  1.474861
386  0.0 -2.093785 -1.224553  0.869232
387  0.0 -1.186196 -2.429641 -0.243446
388  1.0  0.391862  4.400194  5.008332
389  0.0 -1.176447 -1.686666  1.489781
390  0.0 -0.680517 -0.954559  0.725958
391  0.0  0.202968  0.553130  1.350162
392  0.0 -0.828266 -1.262042 -0.433776
393  0.0 -1.339543  0.263496  1.603039
394  1.0 -0.708056  0.284883  0.992939
395  0.0 -3.234270 -2.582126  1.652144
396  1.0 -0.708546 -0.425521  2.283025
397  0.0 -0.221211  0.746607  0.967819
398  0.0 -1.883588 -0.797319  3.086269
399  1.0  0.076948  2.102742  4.025794
400  0.0 -2.680213 -2.001143  0.679071
401  0.0  0.438883  0.185087  0.746204
402  0.0 -3.234659 -4.699235 -1.464576
403  1.0  0.225632  2.765634  4.540002
404  0.0 -1.040056 -2.379562 -0.339506
405  0.0 -2.809970 -2.245363  0.564607
406  0.0 -0.181894 -0.635136 -0.453241
407  0.0  0.364753 -0.317837  1.317410
408  1.0 -1.039405  1.376099  2.415504
409  0.0 -3.159149 -4.087694 -0.928545
410  0.0 -1.711896 -1.416022  0.295874
411  1.0 -2.146564  0.221316  3.367880
412  0.0 -2.316909 -1.993228  0.323681
413  0.0 -2.106778 -0.817776  1.289003
414  0.0 -0.783271 -1.856022  0.927249
415  0.0 -0.395370  0.588485  0.983855
416  0.0 -2.076150 -2.275782 -0.199632
417  0.0 -2.048257 -2.117877 -0.069620
418  0.0  0.211815  0.311952  1.100137
419  0.0 -1.623365 -1.016854  0.606510
420  0.0 -1.978969 -1.599984  2.378985
421  0.0 -2.233566 -0.858553  2.375012
422  0.0 -4.004514 -3.011666  2.992848
423  0.0 -2.519572 -3.149143 -0.629570
424  0.0  0.204820 -0.060370  1.734809
425  0.0 -2.730270 -3.643350  1.086920
426  0.0 -1.575524 -1.303415  2.272109
427  1.0 -1.765164 -1.042878  2.722286
428  0.0 -1.376398  0.803291  2.179689
429  1.0  0.891556  4.507272  3.615717
430  0.0 -0.512852 -1.422935  1.089918
431  1.0 -0.064029 -0.235647 -0.171618
432  0.0  1.804870  0.224939 -1.579931
433  1.0 -3.672627 -2.058699  1.613928
434  0.0 -1.650339 -1.490244  1.160095
435  0.0 -0.057747  0.884686  1.942433
436  0.0 -3.215654 -2.145454  1.070199
437  0.0  0.756649 -0.752938 -0.509587
438  1.0 -2.744889  0.761419  4.506308
439  0.0 -0.000846  0.953170  2.954016
440  0.0 -1.229667  0.602840  1.832507
441  0.0 -3.116326 -2.176917  0.939409
442  0.0 -3.265872  0.170185  4.436057
443  0.0 -0.640814 -0.079650  1.561164
444  0.0 -2.288658 -3.104448 -0.815790
445  1.0 -0.243755  1.393224  3.636979
446  1.0 -1.491925 -2.177579 -0.685654
447  0.0 -1.656057  0.226682  2.882739
448  1.0 -0.656991 -1.505910 -0.848919
449  0.0 -1.001182  0.354808  1.355990
450  0.0  1.221228 -0.589095 -1.810323
451  0.0  0.546832  3.272686  3.725854
452  0.0 -0.227428 -1.437780 -1.210353
453  0.0  1.554679  1.557207  1.002528
454  1.0 -0.664655  2.110383  2.775038
455  1.0 -1.375183  0.170665  2.545847
456  0.0 -0.858848  0.221452  1.080301
457  0.0 -1.452213  0.527584  1.979797
458  0.0 -2.168528 -0.954116  3.214412
459  0.0 -0.709526 -0.034665  0.674861
460  0.0 -0.199792 -1.420286 -0.220493
461  0.0 -1.612924 -0.081618  1.531306
462  0.0 -3.261919 -2.538728  0.723191
463  0.0  0.272123  1.933776  1.661653
464  0.0 -2.675843 -3.162907  0.512936
465  0.0  0.391957  0.491149  2.099193
466  1.0 -0.593779  1.656449  4.250228
467  1.0  0.324154  1.408385  1.084231
468  1.0 -1.753319 -0.085173  2.668146
469  0.0 -2.512073 -2.559262 -0.047190
470  0.0 -4.274342 -4.265365  0.008977
471  0.0 -1.782047  0.650252  2.432299
472  1.0 -2.906781 -0.582483  4.324299
473  0.0 -2.917376 -2.735108  0.182269
474  0.0 -1.108842 -0.858169  1.250674
475  0.0 -3.361611 -3.501191 -0.139579
476  0.0  0.866370  1.943172  1.076803
477  0.0  0.999841  0.171996  0.172154
478  0.0 -1.746410  0.607407  3.353817
479  0.0 -2.085963 -0.585007  2.500956
480  0.0  1.250309  0.544834 -0.705475
481  0.0  0.258280 -0.880668 -0.138947
482  0.0 -0.429217  0.665057  1.094275
483  1.0 -3.324399 -0.414552  3.909847
484  0.0  0.191884 -0.016451 -0.208335
485  0.0 -4.450330 -3.065841  1.384489
486  1.0 -1.141386 -0.753387  0.388000
487  0.0 -1.510936  1.136738  2.647674
488  0.0  0.182682 -0.064020  0.753298
489  0.0 -1.367453 -0.290102  2.077351
490  0.0 -2.636108 -1.722360  1.913748
491  0.0 -1.045505 -0.101095  0.944409
492  0.0  1.455448  0.736560 -0.718888
493  0.0 -1.042385 -0.980977  1.061409
494  0.0 -2.011934  0.032974  2.044908
495  1.0 -0.961556  1.396335  4.357891
496  0.0  0.435645 -0.407296  0.157059
497  0.0 -2.990001 -1.229708  2.760293
498  0.0 -1.911243 -0.986804  0.924439
499  0.0 -3.359643 -4.265485 -0.905842
500  0.0 -0.843687  2.678193  3.521880
501  1.0  0.498591  1.543312  2.044721
502  1.0 -3.009246 -1.207295  1.801952
503  0.0  0.361584  1.865316  1.503732
504  1.0 -1.699873  0.397043  2.096916
505  0.0 -2.262946 -2.188835  0.074112
506  0.0 -2.150733 -0.066272  2.084461
507  0.0 -0.886049  0.015094  1.901143
508  0.0 -2.435517 -2.530772 -0.095254
509  0.0 -1.864064 -0.592986  3.271078
510  0.0 -1.539524 -3.889589 -2.350064
511  0.0 -0.713213  2.058867  3.772080
512  0.0 -2.170222 -2.529662 -0.359440
513  0.0 -1.235958 -1.676083 -0.440125
514  0.0 -3.082977 -2.850154  2.232823
515  0.0 -2.583882 -1.325359  1.258523
516  0.0 -4.985994 -5.315868 -0.329874
517  1.0 -0.604159  0.418868  1.023027
518  0.0 -1.280366 -4.408519 -2.128154
519  0.0 -2.207213 -1.611388  0.595825
520  0.0 -1.308500 -1.713096  1.595404
521  0.0 -0.413894  0.711953  1.125847
522  0.0 -3.815718 -1.384653  2.431065
523  0.0 -1.329285 -2.585949 -1.256664
524  0.0 -4.199183 -5.182961 -0.983778
525  0.0 -2.620264 -2.403478  2.216786
526  0.0 -3.724887 -2.992407  1.732480
527  1.0 -2.365682  1.408841  3.774523
528  0.0 -1.157956 -1.298139  1.859817
529  1.0 -3.369537 -0.454132  3.915405
530  0.0 -3.324935 -4.393281 -0.068346
531  0.0 -3.145585 -3.196331  0.949253
532  0.0  0.030319  1.049021  2.018702
533  0.0 -1.726230 -1.456126  1.270104
534  0.0 -3.150188 -2.710769  1.439419
535  0.0 -0.688490 -0.267955  0.420535
536  1.0 -1.877154 -0.075104  3.802050
537  0.0 -2.288227  0.954440  3.242667
538  0.0 -0.584888  0.015948  1.600835
539  0.0 -2.137541 -3.711374 -0.573832
540  0.0 -1.530247 -2.226885 -0.696638
541  0.0 -1.977541 -2.164884  0.812657
542  0.0 -3.464315 -2.954250  1.510065
543  0.0 -1.453422  0.528631  3.982053
544  0.0 -0.842390  0.362104  2.204494
545  0.0 -0.419012  0.541377  0.960390
546  0.0 -3.351709 -4.482605 -1.130896
547  0.0 -0.682408  0.352889  2.035297
548  0.0 -3.156058 -1.284999  3.871059
549  1.0 -0.691377  1.553443  3.244820
550  0.0 -0.096106  0.098892  1.194999
551  0.0 -0.957536  1.115344  2.072880
552  0.0 -0.714379 -1.419775  0.294603
553  0.0 -0.489106 -0.476643  0.012463
554  1.0 -2.175017  1.015488  3.190505
555  0.0 -0.187077 -0.015272  2.171806
556  1.0  1.550797  4.901719  5.350923
557  0.0 -1.877378 -3.131764 -1.254385
558  0.0 -2.303000 -1.260296  1.042705
559  0.0 -3.094605 -4.144121 -1.049516
560  0.0 -0.560082 -0.388342  0.171740
561  0.0 -2.843914 -0.869461  2.974453
562  1.0 -3.377985 -1.740653  1.637332
563  0.0 -0.857923 -0.151739  1.706184
564  0.0 -1.586792 -0.356761  1.230031
565  0.0  0.301537  0.279489  1.977952
566  0.0  1.731603  2.670816  1.939213
567  0.0 -2.636623  0.026490  4.663113
568  0.0 -1.171480 -0.692996  1.478484
569  0.0  0.457242 -1.105860 -1.563102
570  0.0 -3.482458 -3.676527  0.805931
571  1.0 -1.588810 -0.569800  2.019010
572  0.0 -2.229041 -1.876500  1.352541
573  0.0 -1.232138  0.779663  2.011800
574  0.0 -4.131038 -3.894662  2.236377
575  0.0 -1.750203 -2.358246 -0.608043
576  0.0 -2.275009 -1.906646  0.368363
577  0.0  0.815174  0.506477  0.691303
578  1.0 -0.925125  1.506107  3.431233
579  0.0  0.893701  1.751052  1.857351
580  1.0 -0.325237  1.282391  2.607628
581  0.0 -3.679786 -4.387393  0.292393
582  1.0 -0.316732  0.498880  0.815612
583  0.0 -1.847686 -0.317301  1.530386
584  0.0  2.064438  1.242193 -0.822245
585  0.0 -0.152841 -0.153902 -0.001061
586  0.0 -1.095995 -1.744438 -0.648443
587  0.0 -3.357974 -5.211463 -1.853489
588  0.0 -1.466544 -1.259233  0.207312
589  0.0 -0.395116 -1.020624 -0.625508
590  1.0 -1.253583 -0.576688  0.676895
591  0.0 -1.214462  0.335046  1.549508
592  0.0 -3.098062 -2.636897  0.461164
593  0.0 -1.126248 -0.074701  2.051546
594  0.0 -2.036298 -0.525553  1.510745
595  0.0 -0.527519 -0.401842  0.125677
596  0.0 -3.494460 -1.884413  2.610047
597  0.0 -1.853993 -0.675316  1.178677
598  0.0  0.489616  2.032603  3.542987
599  0.0 -3.447125 -1.696347  1.750778
600  0.0 -1.975873 -2.003746  0.972127
601  0.0 -3.804465 -3.962994  1.841471
602  0.0 -2.032782  0.046570  3.079352
603  0.0  1.226698 -0.459754  0.313548
604  0.0 -1.934649 -1.488318  0.446330
605  0.0 -4.265219 -4.512655 -0.247436
606  0.0 -1.856628 -1.989158 -0.132530
607  0.0  0.564066  0.932658  0.368592
608  0.0  1.285338  1.476839  1.191501
609  0.0 -2.706786 -0.678338  3.028449
610  0.0 -1.415350  2.307705  3.723056
611  0.0 -2.665605 -3.199866 -0.534261
612  0.0 -0.358556  0.140539  0.499096
613  0.0 -3.170056 -2.382265  1.787791
614  0.0 -2.263382 -1.663396  2.599985
615  0.0 -0.666086  0.083242  1.749328
616  1.0  1.295408  3.642304  2.346896
